,职位名称,详细链接,工作地点,薪资,公司名称,经验要求,学历,福利,职位信息,,,,,,,,,,,,,,,,,,,,
330,高级数据分析师,https://www.lagou.com/jobs/5655366.html,徐汇区,20k-40k,赛仕软件（北京）有限公司上海分公司,5-10年,硕士,全球最佳雇主,Responsibilities:1.\xa0Delivering\xa0statistical\xa0models\xa0for\xa0the\xa0pre-sales\xa0and\xa0delivery\xa0projects.2.\xa0Undertaking\xa0knowledge\xa0discovery\xa0and\xa0data\xa0mining\xa0in\xa0large\xa0data.3.\xa0Performing\xa0data\xa0extraction,\xa0transformation\xa0and\xa0loading\xa0from\xa0multiple\xa0data\xa0sources.4.\xa0Developing\xa0analytical\xa0datasets\xa0to\xa0support\xa0statistical\xa0modeling.5.\xa0Developing\xa0solutions\xa0for\xa0monitoring\xa0and\xa0reporting\xa0model\xa0performance,\xa0quality\xa0and\xa0reliability.6.\xa0Developing\xa0reusable\xa0processes\xa0and\xa0methodologies\xa0for\xa0delivering\xa0analytical\xa0models.7.\xa0Execution\xa0of\xa0all\xa0phases\xa0of\xa0modeling\xa0projects:\xa0identifying\xa0the\xa0business\xa0problem,\xa0data\xa0exploration,\xa0modeling,\xa0communication\xa0of\xa0final\xa0results,\xa0post\xa0implementation\xa0monitoring.8.\xa0Collaboration\xa0with\xa0internal\xa0team\xa0members\xa0and\xa0external\xa0customers.9.\xa0Provide\xa0analytical\xa0training\xa0courses\xa0for\xa0the\xa0customers.10.\xa0Other\xa0duties\xa0as\xa0assigned\xa0by\xa0management.\xa0Required\xa0skills:1.\xa0Ph.D.\xa0or\xa0Master’s\xa0Degree\xa0in\xa0applied\xa0statistics,\xa0applied\xa0mathematics,\xa0data\xa0mining,\xa0machine\xa0learning,\xa0operations\xa0research,\xa0related\xa0quantitative\xa0discipline\xa0or\xa0work\xa0experience.2.\xa0Deep\xa0understanding\xa0of\xa0statistical\xa0and\xa0predictive\xa0modeling\xa0concepts,\xa0machine-learning\xa0approaches,\xa0clustering\xa0and\xa0classification\xa0techniques,\xa0and\xa0recommendation\xa0and\xa0optimization\xa0algorithms.3.\xa0Ability\xa0to\xa0solve\xa0complex\xa0analytical\xa0problems\xa0using\xa0quantitative\xa0approaches\xa0with\xa0his/her\xa0unique\xa0blend\xa0of\xa0analytical,\xa0mathematical\xa0and\xa0technical\xa0skills.4.\xa0Passionate\xa0about\xa0asking\xa0and\xa0answering\xa0questions\xa0in\xa0business\xa0requirements,\xa0and\xa0able\xa0to\xa0communicate\xa0that\xa0passion\xa0to\xa0product\xa0managers\xa0and\xa0engineers.\xa0Have\xa0a\xa0keen\xa0desire\xa0to\xa0solve\xa0business\xa0problems,\xa0and\xa0live\xa0to\xa0find\xa0patterns\xa0and\xa0insights\xa0within\xa0structured\xa0and\xa0unstructured\xa0data.5.\xa0Expert\xa0in\xa0analyzing\xa0large,\xa0complex,\xa0multi-dimensional\xa0datasets\xa0with\xa0a\xa0variety\xa0of\xa0tools.6.\xa0Accomplished\xa0in\xa0the\xa0use\xa0of\xa0statistical\xa0analysis\xa0environments\xa0such\xa0as\xa0SAS,\xa0Python.
331,风控数据分析,https://www.lagou.com/jobs/6065808.html,普陀区,12k-20k,上海喔噻互联网科技有限公司,3-5年,本科,互联网公司氛围 牛逼团队 广阔发展空间,岗位工作：1.分析典型风险案例，基于数据分析开发各类风险管理模型规则上线，预防风险交易和虚假申请。2.分析行业商户和用户行为，监测分析业务和风险策略效果。3.风险数据分析相关需求提出和落实。职位要求：1.2年以上相关工作经验，本科以上学历，计算机、金融、统计学、数学等相关专业。2.熟悉电商或支付业务，具有2年以上风险管理相关工作经验。3.具备较强的数据分析能力，熟练使用数据分析和挖掘工具，如SQL，SAS, python/R等编程语言,,,,,,,,,,,,,,,,,,,
332,数据分析师实习,https://www.lagou.com/jobs/6258703.html,浦东新区,2k-4k,中云开源数据技术（上海）有限公司,应届毕业生,大专,倡导“专人专长、有才就有位”的用人原则。,岗位职责：1.根据公司及部门的实际业务要求，进行相关互联网开放数据的收集、整理、分类等。2.协助公司数据分析师完成相关数据的处理、分析、可视化以及数据分析报告的撰写。职位要求：1.大专及以上学历；2.工作态度积极主动，并有良好的沟通能力；3.思维严谨，有较好的写作能力优先考虑；4.可以熟练使用Excel等办公软件优先考虑；5.会使用python语言的优先考虑；6.表现优秀者可留用。,,,,,,,,,,,,,,,,,,,,
333,SQL数据分析师,https://www.lagou.com/jobs/5995779.html,长宁区,15k-25k,北京京东世纪贸易有限公司,3-5年,本科,电商平台业务,工作职责：1、\xa0\xa0 \xa0负责京东内容频道业务的数据运营分析，通过专项数据分析监控业务现状、探索发展方向2、\xa0\xa0 \xa0利用京东数据平台开发可视化数据看板，支持运营自主分析3、\xa0\xa0 \xa0使用SQL支持组内的取数需求4、\xa0\xa0 \xa0每周业务数据周报撰写和分析岗位要求：1、\xa0\xa0 \xa0理工科专业，本科及以上学历，1年以上数据分析相关经验2、\xa0\xa0 \xa0精通SQL、EXCEL技能，数据处理技能熟练者优先3、\xa0\xa0 \xa0具备一定的数据分析能力，逻辑能力强4、\xa0\xa0 \xa0有良好的沟通表达能力，有换位思考意识，需求推动能力强5、\xa0\xa0 \xa0具备很强的自我驱动能力，有主动学习、探索和责任担当的强烈意愿。具有以下经验者优先：1、了解内容创作整体运作，关心热点事件，有内容商业化的实操经验；2、对于商家在内容营销上的需求和痛点有深度的了解，并对淘宝达人、微博、今日头条等内容商业变现相关平台有深度了解；3、对行业内的内容化深度了解，熟悉导购产品、流媒体产品及行业情况；4、平台型产品经验及内容相关领域经验。,,,,,,,,,,,,,,,,,,,,
334,实习生 - SEO/SEM/数据分析方向,https://www.lagou.com/jobs/3916653.html,浦东新区,2k-4k,上海储田商务咨询有限公司,应届毕业生,本科,实战培训,学习补贴,可转正,环境好,这里一个team的人坐拥一层楼+一个阳光大天台；这里对每一个客户项目都精益求精；这里的伙伴简单上进有担当；这里的老板年年给员工过六一；这个公司能全员说走就走，带着电脑集体去海边度假，工作休闲两不误……如果这里正好对你的胃口，来加入我们吧\xa0(????)??实习生 –[ SEO/SEM咨询师/数据分析师 ]方向岗位职责：1、 理解相关类型的项目策略，配合策略师、咨询师，完成项目咨询文档的撰写工作；2、 进行基础数据监测与统计，按照项目工作要求及时提交报告；3、 按照项目确定的策略内容，参与基础策略的落地执行；4、 完成上级领导交代的其他任务。任职资格：1、热爱互联网生态，逻辑性思维强，擅长探索、研究线上营销、搜索营销新技术；2、对数据敏感，快速掌握并熟练使用基础数据分析工具，有网站数据分析经验者优先；3、了解互联网应用技术知识、网络知识以及数据挖掘技术；4、熟悉使用常规办公软件，例如EXCEL、PPT，了解Photoshop、Fireworks、Axure等；5、有良好的团队协作意识和沟通技能；6、本科及以上学历，计算机、数学、市场营销、电子商务等相关专业优先。时间要求：至少实习6个月 , 每周工作4天待遇福利：实习薪酬 \xa0休假 \xa0项目实操机会\xa0 实战培训\xa0 专业认证机会 学习补贴等等。绩效优秀能力突出可转正。以善心信誉定去留，以能力绩效论资薪。,,,,,,,,,,,,,,,,
335,初级数据分析师（实习岗）,https://www.lagou.com/jobs/3827198.html,长宁区,4k-8k,上海麦图信息科技有限公司,应届毕业生,本科,带薪年假,弹性工作,扁平管理,职位要求：1.统计学、数学、计算机科学、数量经济或相关专业全日制本科及以上学历，有较强的数学功底和数据挖掘功底2.经验不限，应往届毕业生均可，前期有资深分析师带3.具备数据分析、统计建模能力，熟悉 Python/R等工具和数据挖掘的常用算法4.了解数据库的使用，了解SQL Server/ORACLE/MYSQL/等主流数据库；能撰写SQL脚本提取所需数据5.良好的数据敏感度,能从海量数据提炼核心结果6.能接受中长期出差学校或者导师同意，一周至少保持三天的工作时间实习期间表现良好者，毕业后可签定正式劳动合同,,,,,,,,,,,,,,,,,
336,数据开发 (MJ000126),https://www.lagou.com/jobs/6229902.html,闵行区,14k-20k,上海沐瞳科技有限公司,3-5年,本科,免费工作餐；境外旅游；福利假多,工作职责：1. 基于开源组件和AWS搭建、维护、持续完善大数据处理系统2. 对海量异源异构数据进行汇总、清洗、聚合，保证数据及时、准确3. 根据业务模型对海量数据进行深入分析，为业务做决策提供高效的数据支持工作要求：1. 计算机或相关专业本科及以上学历，2年以上相关工作经验2. 精通Python，精通pandas等数据分析工具，精通SQL，熟悉shell/php更佳3. 精通Hadoop生态组件的使用、维护、调优，有impala使用和调优经验优先4. 熟悉Linux，熟悉Mysql数据库，有过基于Hadoop/Spark/AWS等的实际大数据项目经验5. 熟悉常用数据分析方法，对数据有足够的敏感度，善于发现数据之间的关联、波动6. 有较强的学习能力、逻辑思维能力、沟通能力和抗压能力,,,,,,,,,,,,,,,,,,,,
337,大数据工程师,https://www.lagou.com/jobs/6079407.html,浦东新区,25k-40k,上海欧拉网络技术有限公司,3-5年,本科,工作环境 氛围 学习机会,职责描述：1. 灵活使用大数据相关的技术解决相关的业务问题2. 开发并维护数据平台的产品和系统3. 大数据平台的日常运维4. 与业务部门密切配合，寻求数据层面的业务价值，利用数据分析结论推动产品优化5. 研究大数据技术领域最新进展并结合业务需求进行合理的应用和实践任职要求：1. 全日制本科及以上学历，3年以上 Java 开发经验，扎实的 Java 基础，最好有 scala 经验2. 有 Hadoop 使用经验，了解 HDFS 运行机制3. 有 Spark 使用经验，使用过 Spark SQL 和 Spark Streaming 并了解其原理，最好对 Storm 也有了解4. 有 HBase 使用经验，了解 HBase 的各个模块，以及大致的工作流程5. 了解分布式系统的一些基本原理和协议6. 有图数据库使用经验优先7. 有使用过或了解过 kafka/flume/hive/mongo/zookeeper/sqoop/kerberos/presto 等大数据相关框架8. 熟悉常用 Linux 命令9. 良好的沟通和业务理解能力,,,,,,,,,,,,,,,,,,,,
338,数据工程师-用户运营方向,https://www.lagou.com/jobs/6062158.html,浦东新区,12k-20k,上海韩创网络科技有限公司,3-5年,本科,五险一金 周末双休 绩效奖金 带薪年假,数据工程师-用户运营方向职位描述：1、负责摄图网用户运营和增长策略分析所需的数据分析，完善埋点事件设计和追踪，包括但不限于获得用户的前端产品、用户价值、行为转化等\xa02、搭建用户价值的数据评估体系，结合细分的用户需求，监控关键的营销效果评估指标，实现可视化报告，并通过AB测试追踪策略效果，不断进行策略优化3、根据用户的生命周期阶段，搭建用户预测模型和促销敏感数据模型，针对分层/分群用户精细化运营策略，并支持配合运营落地和营销总结任职资格：1、有3年及以上数据分析经验，具有扎实的数据结构及算法基础, 热衷用户研究2、优先应用数学/统计学/计算机/管理科学专业，具有优秀的定量分析能力和逻辑思维能力\xa03、熟练使用excel\\sql，熟悉各种数据技术平台，掌握R/python/shell中至少一个\xa0，能高效的与研发团队进行沟通,,,,,,,,,,,,,,,,,,,
339,运营数据分析,https://www.lagou.com/jobs/6318858.html,黄浦区,7k-10k,上海龙婴本铺服装设计有限公司,1-3年,本科,五险一金,周末双休,提成,年终奖,职责\xa01、数据管理及监控：负责公司运营数据存储、提取、分析及展现，及时发现市场机会或运营中存在问题并进行预警。\xa02、数据挖掘：利用数据软件，通过统计建模、数据挖掘方法建立数据模型解决实际问题，关联分析等。\xa03、数据展现：根据业务需求建设、完善数据可视化报表，定期输出相关数据产品。\xa04、数据支持：为运营及决策提供业务分析及数据支持，及时准确完成相关数据的提取和分析。\xa05、数据维护：建立、维护区域大数据库，针对重点指标数据进行定期更新、维护。\xa0要求：\xa01、本科以上学历，计算机软件、电子商务、统计学等相关专业；\xa02、2年以上数据分析相关工作，有互联网行业分析经验者优先\xa03、熟练使用SQL语言，熟练使用至少一种统计分析工具软件，如SPSS、SAS，熟练使用EXCEL等工具；\xa04、有较强的数据敏感度和数据逻辑性；有一定的分析报告撰写能力\xa05、很强的上进心和学习能力，能够承受较大压力,,,,,,,,,,,,,,,,,
340,大数据工程师,https://www.lagou.com/jobs/6247817.html,闵行区,20k-35k,宁波逸享电子商务有限公司,5-10年,本科,发展前景无线 挑战性大,四句话要求5年以上大数据开发经验参与过电商大数据项目建设职位描述参与数据中台建设、构建：包括数据采集、传输平台，存储、离线/实时计算以及分布式调度系统、高可用高并发的数据服务等一些列大数据生态系统的工程化的建设与维护。任职资格1、本科及以上学历，计算机及相关专业；2、熟练Linux环境及shell脚本，掌握linux环境下多线程及网络编程,深入理解Hadoop MapReduce、HDFS、Hbase、Hive、Spark、Flink等大数据生态系统中间件原理；3、精通Java语言，具有扎实的面向对象开发经验，熟悉分布式系统和相关性能调优思想； 熟练掌握设计模式包括J2EE、MVC、Spring微服务、Dubbo等；\xa04、对操作系统、内存管理、存储技术等基础设施有相当的了解；5. 精通数据库体系架构，对于高性能计算、分布式架构、数据同步、数据缓存技术有丰富的经验；6、具有丰富的数据开发经验，对数据处理、数据建模、数据分析等有深刻认识和实战经验；7、业务理解力强，对数据、新技术敏感，对云计算、大数据技术充满热情。6. 构建应用场景的数据模型训练与算法效果分析及评估体系，来量化与提升应用效果。7. 熟悉常用机器学习和数据挖掘算法及应用实践，如：LS，SVM，决策树、聚类、神经网络等算法；8. 有大规模海量数据机器学习、数据挖掘、计算广告、搜索引擎相关经验者优先；9. 具有责任心，有较强的钻研学习能力，较好的沟通能力、团队合作。,,,,,,,,,,,,,,,,,,,
341,数据仓库,https://www.lagou.com/jobs/5055474.html,杨浦区,22k-35k,晋松（上海）网络信息技术有限公司,5-10年,本科,技术大牛,晋升通道,工作职责：1、 负责数据仓库的搭建，根据公司各业务线的场景需求，进行etl相关开发和落地；2、 参与构建统一的数据仓库分层架构，并支持各种业务取数要求；3、 理解并合理抽象不同业务需求，负责数据质量、元数据的监控和整合岗位要求：1. 优秀的业务理解能力2. 熟练使用一种脚本语言perl或python 等3. 对于etl 工具kettle 有使用经验或者开发过etl 脚本4. 使用过azkaban 的调度器或者接触过其他调度任务工具taskctl ,control m等5. 参与过数据仓库建设 ，数据提取，数据分析等工作6. 沟通与理解能力较好，善于表达，以及发现并解决问题加分项：了解并具备impala hive或hbase或spark或flume 等大数据生态组件使用对于中间件kafka或logstash或redis有实战经验,,,,,,,,,,,,,,,,,,
343,初级数据分析师,https://www.lagou.com/jobs/6087793.html,徐汇区,5k-10k,上海至数企业发展有限公司,应届毕业生,不限,发展前景好,数据分析师(行业研究方向)\xa0岗位描述：\xa01、负责医疗器械的数据产品（数据仓库和知识图谱）日常运营，并协助完成不同行业领域/主题的调研项目，进行数据分析并撰写报告。\xa02、通过专题分析，对业务问题进行深入分析，能对关键分析思路进行产品化，形成研究结果提给研发中心进行数据应用开发；\xa0\xa03、日常数据报告制作，包括日常业务数据的收集、整理、核对，异常数据的核查，日常规报表的制作与更新完成业务相关统计报表及报告；\xa0\xa0岗位要求：1.本科以上学历，统计、数学、机器学习、数据挖掘、运筹学、信息技术等专业，211、985、国外知名高校优先；\xa02、有资料与信息解锁能力，并具有良好的沟通能力及策划能力；\xa03、熟悉医疗行业的品牌，具备基础的商业素养，有刨根究底意识，能够快速获取最新信息、主动选取有用信息、深度挖掘准确信息；\xa04、熟练使用SQL、HQL等数据库语言，能熟练使用Python或其它编程语言，编写自动化脚本者优先；\xa05、对数据分析和算法设计有比较强烈的兴趣，具有统计学、运筹学、数据分析相关知识和工作经验优先考虑；\xa06、有医疗行业经历优先考虑；,,,,,,,,,,,,,,,,,,,,
344,证券数据分析（用户数据分析建模）,https://www.lagou.com/jobs/6339741.html,虹口区,20k-40k,前锦网络信息技术（上海）有限公司北京分公司,应届毕业生,本科,稳定；福利好；待遇好,职位描述岗位职责：1、根据数据需求协助制定用户行为的埋点方案，并验证埋点数据的准确性，并出具行为数据分析报告；2、灵活运用Tableau等可视化工具，分析数据成因，发掘数据商业价值；3、协助完成部分ETL工作，完善数据仓库的数据完整性、可用性；4、理解业务部门建模目标和建模需求，通过用户交易行为、网站行为等数据，进行数据挖掘、算法设计；5、使用建模工具进行模型开发，包括数据准备、建模及数据分析、模型的选取与圈定、模型验证工作；6、面向业务部门进行模型解读，基于分析结果服务线上业务，对业务部门提出模型应用建议\xa07、对业务进行数据需求支持，开展数据分析工作，基于数据分析成果，为业务部门提供策略分析和业务优化建议，持续改进运营效果；8、优化和完善数据分析体系，包括KPI指标体系、报表体系等；9、参与负责交易核对、日常监控等业务运营的部分相关工作；任职资格：1、数学、统计学、计算机软件等相关专业本科或以上学历；2、1年及以上的工作经验；3、熟悉使用SQL，熟练掌握数据库技术，如oracle、hive等数据库；4、熟悉python/Shell、Tableau或者ETL使用工具者加分。5、熟悉至少一种常用建模工具，熟悉SAS建模或R、python语言者优先；6、熟悉数据挖掘和机器学习算法等常用算法,并对机器学习算法和理论有较深入的研究，熟悉常用算法（如决策树、聚类、逻辑回归、关联分析、SVM，贝叶斯等）原理和实现；7、较强的数据敏感性、优秀的逻辑分析和沟通表达能力；8、良好的逻辑思维能力和抗压能力，对业务内容有强烈的学习意愿；9、具有较好的沟通技能，良好的团队合作精神。,,,,,,,,,,,,,,,,,,,
345,大数据开发工程师,https://www.lagou.com/jobs/5740324.html,松江区,20k-40k,上海明品医学数据科技有限公司,1-3年,硕士,技术大牛,环境好,氛围好,工作内容：1.\xa0\xa0 \xa0编程实现大数据采集、清洗等业务逻辑2.\xa0\xa0 \xa0通过数据建模实现用户需要的数据分析和挖掘功能3.\xa0\xa0 \xa0开发数据分析和挖掘相关的用户界面岗位要求：1.\xa0\xa0 \xa0数学、计算机、生物信息等相关专业硕士以上学历2.\xa0\xa0 \xa0良好的算法和数理统计相关理论基础，对数据敏感3.\xa0\xa0 \xa0熟悉Hadoop，HBase，Hive，Kylin，Kafka，Storm等数据处理相关技术，了解数据采集、清洗、建模、分析、挖掘等流程4.\xa0\xa0 \xa0掌握至少一种编程语言5.\xa0\xa0 \xa0良好的团队合作精神,,,,,,,,,,,,,,,,,,
346,数据工程师,https://www.lagou.com/jobs/5721544.html,浦东新区,20k-40k,上海倾听信息技术有限公司,1-3年,不限,团队优秀,岗位职责：1.参与蜻蜓个性化推荐系统、搜索系统的优化和开发。2.参与系统设计，参与数据清洗、数据挖掘、特征提取、调参训练以及效果分析。3.参与蜻蜓流量效率、业务指标的数据分析和报表处理。4.应用算法和模型解决数据处理各个步骤中的问题。5.参与项目讨论，提供实现文档。6.调研和学习各类前沿算法、领域的最佳实践。\xa0岗位要求：1.国内外一流大学本科及以上学历，学习成绩优异，计算机相关专业。2.2年以上大数据相关工作经验，技术能力强者不限。3.熟悉基础算法和数据结构，有扎实的计算机知识及良好的代码习惯。4.熟练掌握基于 Hadoop / Hive / Spark 的大数据计算框架，熟悉Scala或Python语言，Scala优先。熟悉Spark Streaming / Storm / Flink 等流式处理框架优先。5.熟悉Linux操作系统，了解sqlmongoredis等常用数据库，掌握必要的服务端开发技术。熟悉数据可视化相关技术优先。6.熟悉机器学习算法和推荐系统知识者优先。,,,,,,,,,,,,,,,,,,,,
347,实习生-数据分析助理,https://www.lagou.com/jobs/6210811.html,杨浦区,3k-4k,上海晏鼠计算机技术有限公司,应届毕业生,本科,周末双休、五险一金、员工旅游,工作内容：1、协助进行撰写知识产权建设和标准化建设工作；2、进行相关行业学术性前沿技术的研究与背景调研，搜集、整理、分析资料文献任职资格:1、全日制大学本科及以上学历，统计学、数学、经济管理等相关专业；2、对数据有高度敏感度，具有清晰的逻辑推理能力，以及学习和言语表达能力；3、熟练使用Excel、PPT、SPSS、SAS等办公软件；工作时间做五休二，朝九晚六。,,,,,,,,,,,,,,,,,,,,
348,大数据开发工程师,https://www.lagou.com/jobs/6314900.html,浦东新区,25k-45k,上海基分文化传播有限公司,3-5年,不限,弹性工作 行业独角兽 技术氛围好,工作内容：负责数据商业化方向的数据处理，主要包括：1、广告投放相关所有数据流，用户行为打点数据等；2、用户信息多维度的数据分析；3、爬虫框架4、用户画像建立及使用等5、数据质量、数据流程监控\xa0\xa0\xa0技能要求：1、能够根据实际业务设计开发大数据应用组件或者基于开源软件进行二次开发2、具备深厚的分布式系统或数据库系统的理论基础、熟悉分布式计算系统的工作机制3、对大数据基础架构和平台有深刻理解，对基于Hadoop的大数据体系有深入认识，精通大数据开发框架(Spark、Hadoop、Hive、HBase、Kafka、Sqoop、flink等)4、对大数据平台的监控/调度方便有自我深刻的理解，自研开发过监控/调度平台的优先5、对大数据平台的性能优化以及平台运维具用丰富经验6、具有中大型大数据基础平台的建设经验7、熟悉Linux/Unix环境，精通Java/C++/scala等8、对JVM有深刻理解，并且能够运用到日常工作中9、有极强的责任心、积极主动承担结果，能够针对大数据平台的疑难问题努力寻求解决方案,,,,,,,,,,,,,,,,,,,,
349,大数据开发工程师,https://www.lagou.com/jobs/3687206.html,徐汇区,12k-20k,上海海万信息科技股份有限公司,3-5年,本科,五险一金,年终奖,体检旅游,过节费,技能要求：1. 计算机，统计，信息，数学等相关专业本科及以上学历；2. 熟悉使用SQL，熟悉至少一种数据库软件，如：HIVE、ORACLE、MYSQL等；3. 对数字敏感、有商业意识，能够通过数据发掘有价值的信息；4. 有数据可视化能力，能够制作高效精准的数据图表，有效传递信息；5. 熟悉的分析报告撰写与汇报能力；6. 有ETL开发或数据仓库实施经验者优先。工作职责：1. 负责数据分析体系的规划和建立，通过数据分析对用户进行分层，为产品、运营、风控等部门提供指导意见；2. 负责渠道推广、运营活动的成本及收益分析，计算ROI，并提出优化建议；3. 处理临时性数据分析需求。,,,,,,,,,,,,,,,,,
350,大数据开发,https://www.lagou.com/jobs/6300552.html,静安区,16k-30k,上海倍业信息科技有限公司,不限,本科,年度旅游、年度体检 、年度调薪,1、参与实时大数据平台的分布式数据存储与计算开发，打造稳定可靠的平台化、可视化、自动化交互式平台2、设计开发大数据产品，包括实时计算平台、数据审核平台、数据监控平台、数据标签化处理平台；3、负责数据仓库/数据平台的技术性维护工作，处理数据相关业务需求的实现与支持4、 负责提升Haddoop/Spark/Druid/Hive/Hbase集群的高可用性、高性能特性岗位要求：1、 计算机相关专业，全日制本科及以上，2年以上大数据开发经验2、 对流式计算、离线计算有深刻理解，精通MapReduce，Spark，Spark Streaming，Storm数据分析引擎至少一种的原理与使用，熟练应用kafka、redis等消息中间件/缓存技术3、 精通hadoop、druid、hive、hbase等大数据/时序数据库存储和技术的一种或多种的原理与使用4、 熟练应用python、java、scala等一种或多种开发语言进行数据仓库应用的开发，有2年以上实际项目经验5、 熟悉数据仓库/数据平台理论体系，熟悉建设数据仓库/数据集市相关方法论6、 对数据和业务逻辑映射敏感，梳理优化数据产品业务功能的逻辑7、 有hadoop、spark、druid、hbase等相关技术源码研究经验和成果的，优先考虑,,,,,,,,,,,,,,,,,,,,
351,数据开发,https://www.lagou.com/jobs/6194052.html,普陀区,18k-25k,人英网络（上海）有限公司,3-5年,本科,超长假期，多元文化，自助午餐，英语课,关于职位：\xa0 \xa0 \xa0 \xa0人英网络致力于开发包括网站和手机应用在内的网络社交平台。我们正在寻找与我们Service team契合的数据工程师。我们希望你充满好奇心，心态开放并且能快速学习和自我提升，为浩瀚复杂的用户数据提供优秀的解决方案。\xa0 \xa0 \xa0 \xa0 Service team的工程师们对公司的发展方向至关重要！你将有机会跨多个团队合作来实现各种奇思妙想，令我们的社区更繁荣。这个团队致力于挖掘隐藏在大量数据中的秘密，来帮助业务部门做出明智的商业决策和更完美的产品。你的工作职责：\n 与数据工程和产品团队合作，提供可靠的数据来源做出数据驱动的决策；\xa0\n 主动厘清需求和方向并负责项目；\xa0\n 架构、建立核心Dataset；\xa0\n 处理、存储和服务tb级数据的高效ETL；\xa0\n 完成新的日志结构以支持新的数据分析；\xa0\n 将商业需求根据优先级转化为具体项目并实施；\xa0\n 将设计理念和具体实施细节的文档化。\n你将有机会：\xa0\n 与数据分析师合作设计大数据看板；\xa0\n 与Data Scientist和机器学习工程师合作完成统计模型和机器学习模型，涉及用户价值预测，定价优化，营销，推荐算法，用户行为预测和用户个性化体验等多个问题；\xa0\n 定义各个网站的关键指标来指导业务决策，比如参与度、保留度和客户终身周期价值跟踪。\n理想型候选人：\n 拥有本科以上学历，计算机专业或软件工程专业优先；\xa0\n 拥有三年以上互联网行业经验，有技术负责人的经验优先；\xa0\n 对算法、web服务和数据管理有较强的理解；\xa0\n 具备高级SQL技能，能够编写复杂和高性能的查询和数据管道；\n 熟练掌握数据仓库建模技术，处理数据缺失，数据可视化等；\n 熟练设计高效的ETL工作流；\xa0\n 精通Java或Scala，愿意学习其他编程语言；\xa0\n 具备Hadoop、Spark、Hive、MPP仓库解决方案等大数据技术经验；\xa0\n 熟悉工作流管理框架，如：Airflow或Luigi；\xa0\n 独立，自我驱动和优秀的完成工作的能力。\n加分项：\n 良好的英语能力和人际沟通能力；\xa0\n 有处理会话、点击流和AB测试数据的经验；\xa0\n 有支持分析团队研究用户行为和产品指标的经验；\xa0\n 有使用Superset等可视化工具的经验。\n作为一家与众不同的互联网公司，我们的特殊技能有：\n 转正后第一年 16 天年假，之后每年多加两天，上限为 24 天；\n 圣诞节额外带薪假期；\n 弹性上班时间，早上 8 点到 10 点任意时间来即可；\n 免费无限量自助餐饮；\n 办公环境可与 Google 媲美；\xa0\n 配备桌球和飞镖等以供休闲；\n 年度公司及部门旅行；\n 每月都有外出活动的机会，形式多样；\n 每周四专人按摩，消除工作疲劳；\n 中英文培训，提高沟通能力；\n 配备藏书丰富的图书馆，帮助自我提升；\n 每年的健康体检；\n 健身费用补贴；\n 全额缴纳五险一金；\n 补充医疗保险。,,,,,,,,,,,,,,,,,,,,
352,数据策略分析师,https://www.lagou.com/jobs/6312790.html,黄浦区,10k-15k,上海联蔚数据科技有限公司,1-3年,本科,大数据分析、市场营销,职位描述：1、 统筹阿里数据银行与策略中心从数据采集实现到分析汇报的全流程数据工作；2. 、提炼品牌发展中的核心问题，建立分析模型，通过数据论证解决方案或可行性，为决策提供依据；3、与项目团队成员合作，完成电商广告活动的数据与其它数字媒体广告活动的数据的整合和分析。任职要求：1、本科以上学历，计算机、数学、统计学等相关专业优先；2、1年以上数据分析、策略设计相关经验，具备商业产品数据背景优先能力强，能独立处理复杂情况下的数据专题分析；3、熟悉基本的数据模型，并有用模型处理实际问题经验优先；4、良好的商业文档撰写能力，包括PRD、调研分析报告等。,,,,,,,,,,,,,,,,,,,,
353,大数据研发工程师,https://www.lagou.com/jobs/6320430.html,徐汇区,15k-30k,上海多维度网络科技股份有限公司,3-5年,本科,发展前景好、领导nice、团队氛围好,职位描述：1.基于hadoop、spark、Flink等构建数据分析平台，进行设计、开发分布式计算业务；2.辅助管理Hadoop集群运行，稳定提供平台服务；3.基于Spark技术的海量数据的处理、分析、统计和挖掘；4.基于Spark框架的数据仓库的设计、开发和维护；5.根据需求使用Spark 实时流和Spark SQL进行数据处理、查询和统计等工作。6.基于需求使用flink开发实时报表岗位要求：1.本科及以上学历，计算机相关专业；2.两年及以上大数据开发经验；3.熟悉Hadoop/HBase/Hive/kafka/spark/Flink，有丰富的分布式编程经验；4.熟悉Spark Streaming和Spark SQL；5.熟练掌握Linux操作系统，熟悉shell等脚本编程；7.有在Spark相关项目中应用Java或scala语言的经验者优先;8.有过海量数据系统开发经验者优先；9.对大数据行业有强烈兴趣，较强的团队合作与沟通能力，对解决挑战型问题充满激情。,,,,,,,,,,,,,,,,,,,,
