Duration (ms), Start date, End date, Start station, End station, Bike number, Member type
285601, 2017/1/4 12:00, 2017/1/4 12:05, 19th St & Pennsylvania Ave NW, New York Ave & 15th St NW, W21879, Member
520349, 2017/1/4 12:01, 2017/1/4 12:09, Rosslyn Metro / Wilson Blvd & Ft Myer Dr, C & O Canal & Wisconsin Ave NW, W21496, Member
539559, 2017/1/4 12:01, 2017/1/4 12:10, Lincoln Memorial, Jefferson Memorial, W21266, Casual
1257533, 2017/1/4 12:01, 2017/1/4 12:22, Park Rd & Holmead Pl NW, 17th & K St NW, W21948, Member
404159, 2017/1/4 12:01, 2017/1/4 12:08, 14th & G St NW, Rhode Island & Connecticut Ave NW, W21911, Member
647345, 2017/1/4 12:01, 2017/1/4 12:12, 19th & G St NW, New Hampshire Ave & T St NW, W22878, Member
508082, 2017/1/4 12:01, 2017/1/4 12:10, Lincoln Memorial, Jefferson Memorial, W22318, Member
667063, 2017/1/4 12:02, 2017/1/4 12:13, 21st St & Pennsylvania Ave NW, 11th & M St NW, W01388, Member
878959, 2017/1/4 12:02, 2017/1/4 12:16, Columbia Rd & Belmont St NW, Wisconsin Ave & O St NW, W20108, Member
1627377, 2017/1/4 12:03, 2017/1/4 12:31, Metro Center / 12th & G St NW, 1st & K St SE, W21352, Casual
292468, 2017/1/4 12:04, 2017/1/4 12:09, 4th & M St SW, "LEnfant Plaza / 7th & C St SW", W00087, Member
89395, 2017/1/4 12:04, 2017/1/4 12:06, Columbus Circle / Union Station, 2nd & G St NE, W00280, Member
843519, 2017/1/4 12:04, 2017/1/4 12:18, Park Rd & Holmead Pl NW, 13th St & New York Ave NW, W01392, Member
172858, 2017/1/4 12:05, 2017/1/4 12:07, Columbia Rd & Belmont St NW, New Hampshire Ave & T St NW, W20931, Member
1138935, 2017/1/4 12:05, 2017/1/4 12:24, 10th St & Constitution Ave NW, Georgia Ave and Fairmont St NW, W22050, Member
697954, 2017/1/4 12:05, 2017/1/4 12:17, C & O Canal & Wisconsin Ave NW, N Lynn St & Fairfax Dr, W00947, Member
491420, 2017/1/4 12:05, 2017/1/4 12:14, 3rd & Elm St NW, 5th St & Massachusetts Ave NW, W21131, Member
859186, 2017/1/4 12:06, 2017/1/4 12:20, 17th & G St NW, New Jersey Ave & N St NW/Dunbar HS, W21627, Member
746550, 2017/1/4 12:06, 2017/1/4 12:19, Jefferson Dr & 14th St SW, "LEnfant Plaza / 7th & C St SW", W22331, Casual
320313, 2017/1/4 12:06, 2017/1/4 12:12, 7th & T St NW, 8th & O St NW, W22708, Member
579278, 2017/1/4 12:07, 2017/1/4 12:17, 14th & Belmont St NW, 15th & P St NW, W21037, Member
135992, 2017/1/4 12:07, 2017/1/4 12:09, 27th & Crystal Dr, S Glebe & Potomac Ave, W00567, Member
516705, 2017/1/4 12:08, 2017/1/4 12:16, 24th & N St NW, New Hampshire Ave & T St NW, W20583, Member
1499060, 2017/1/4 12:08, 2017/1/4 12:33, Potomac Ave & 8th St SE, 1st & H St NW, W00464, Member
323480, 2017/1/4 12:09, 2017/1/4 12:14, Metro Center / 12th & G St NW, 5th St & Massachusetts Ave NW, W20369, Member
1232259, 2017/1/4 12:09, 2017/1/4 12:30, 14th & D St NW / Ronald Reagan Building, Lincoln Memorial, W21522, Casual
127398, 2017/1/4 12:09, 2017/1/4 12:11, 8th & H St NW, Metro Center / 12th & G St NW, W21056, Member
1232129, 2017/1/4 12:09, 2017/1/4 12:30, 14th & D St NW / Ronald Reagan Building, Lincoln Memorial, W00562, Casual
222840, 2017/1/4 12:10, 2017/1/4 12:14, Court House Metro / 15th & N Uhle St , N Veitch  & 20th St N, W20339, Member
245954, 2017/1/4 12:11, 2017/1/4 12:15, 3rd & G St SE, Eastern Market Metro / Pennsylvania Ave & 7th St SE, W01084, Member
1216924, 2017/1/4 12:11, 2017/1/4 12:31, 15th & Crystal Dr, Jefferson Memorial, W21807, Casual
305879, 2017/1/4 12:11, 2017/1/4 12:16, California St & Florida Ave NW, 15th & P St NW, W21814, Casual
547202, 2017/1/4 12:11, 2017/1/4 12:20, Maryland Ave & E St NE, North Capitol St & F St NW, W22250, Member
481325, 2017/1/4 12:11, 2017/1/4 12:19, 7th & T St NW, Vermont Ave & I St NW, W20043, Member
292928, 2017/1/4 12:12, 2017/1/4 12:17, 15th & K St NW, 17th & G St NW, W22872, Member
591808, 2017/1/4 12:12, 2017/1/4 12:22, 14th & D St NW / Ronald Reagan Building, 5th & F St NW, W22161, Member
584826, 2017/1/4 12:12, 2017/1/4 12:22, New Jersey Ave & R St NW, New York Ave & 15th St NW, W00488, Member
98352, 2017/1/4 12:13, 2017/1/4 12:15, Potomac Ave & 8th St SE, 8th & Eye St SE / Barracks Row, W20997, Member
416783, 2017/1/4 12:14, 2017/1/4 12:21, Madison & N Henry St, Market Square / King St & Royal St, W23099, Member
