演员,类型,整理后剧名,上映时间,语言,评分,地区,导演,差评数,评分人数,播放量,好评数
崔江熙/千正明/安昭熙,喜剧/言情剧/剧情/都市/粤语电视剧/超清1080P,心贴心,2015,韩语,8,韩国,李允京,2664,13476,9980000,10812
崔珉豪/朴洙垣,言情剧/剧情/都市/偶像剧/粤语电视剧/超清1080P,因为是第1次,2015,韩语,8.3,韩国,李正浩,4493,26246,13010000,21753
嵇波/尚大庆/董可飞/郭达,军旅剧/剧情/粤语电视剧,军营芝麻官,2008,国语,6.6,内地,阚卫平,184,535,1600000,351
左翎/张国立/尤勇/赵静/金巧巧,家庭剧/言情剧/粤语电视剧/超清1080P,爱的弯道,1996,国语,5.6,内地,赵宝刚/斗琪,241,545,1270000,304
巩汉林/金珠,喜剧/言情剧,剧组的故事,2008,国语,7.8,内地,英宁,160,716,3580000,556
巴森/高发/阿斯茹,历史剧/剧情/年代剧,我的鄂尔多斯,2005,国语,7.2,内地,都晓,44,156,385000,112
常 戎/侯勇/池华琼/田成仁/顾婷渲,剧情/悬疑剧/罪案剧/粤语电视剧,中华之剑,2004,国语,5.7,内地,张祥林,1107,2545,6540000,1438
常戎/盖丽丽/佟瑞欣/王景春/马伊P,言情剧/剧情/都市/粤语电视剧,完全婚姻手册,2000,国语,6.2,内地,江澄,113,301,755000,188
庄红虎/张金刚,喜剧/剧情/网络剧/粤语电视剧/超清1080P,疯狂男士,2014,国语,4.2,内地,张海洋,2235,3827,4310000,1592
康杰/吴秀波/吴婷/张若昀/何政军/李卓霖/牛飘,军旅剧/谍战剧/剧情/年代剧/粤语电视剧/超清1080P,光影,2015,国语,7.8,内地,曹振宇,19261,86134,233000000,66873
廖京生/吴冕/张晓磊/雷瑞琴/达娃卓玛,家庭剧/剧情/粤语电视剧/超清1080P,围城内外,1999,国语,8.3,内地,萧锋,9,52,114000,43
廖凡/杨烁/张译/李晨/吕夏/王黎雯/方慧,军旅剧/年代剧/粤语电视剧/超清1080P,生死线,2009,国语,8.7,内地,孔笙,11468,89263,94940000,77795
廖学秋/傅艺伟/席与立/王余昌,剧情/都市/粤语电视剧,有泪悄悄流,2009,国语,4.6,内地,黄经伟,92,169,522000,77
延政勋/李英雅/李元钟/张铉诚/权贤相/金柱英,悬疑剧/罪案剧/家庭剧/粤语电视剧/超清1080P,吸血鬼检察官,2011,韩语,9.1,韩国,金秉洙,5389,56834,41350000,51445
张一山/战菁一/杨D/孙绍龙/柏智杰/郭柏松/刘紫鸣/刘威/刘立伟,历史剧/剧情/谍战剧/悬疑剧/粤语电视剧/超清1080P,杀寇决,2015,国语,8.1,内地,白涛,10236,52857,144000000,42621
张丰毅/吴 军/范志博/王柠/霍青/黑妹,家庭剧/剧情/年代剧/粤语电视剧,旱码头,2010,国语,6.8,内地,唐敬睿,1056,3262,5580000,2206
张丰毅/张莉莉/曲国强/王茜华/赵倩,家庭剧/农村剧/粤语电视剧/超清1080P,上门女婿,2006,国语,7.2,内地,张晓春,3867,13928,31450000,10061
张丰毅/潘雨辰/戈治均/王静,剧情/都市/粤语电视剧,龙年档案,2003,国语,7.3,内地,于庚庚,99,365,1050000,266
张丰毅/苏瑾,家庭剧/言情剧/剧情/粤语电视剧,梦断天国,2001,国语,5.8,内地,祝力强,146,349,998000,203
张丰毅/郑昊/戴娇倩/佟瑞欣/徐永革/马晓伟/曹克难/刘劲,军旅剧/年代剧/粤语电视剧/超清1080P,长沙保卫战,2014,国语,8.1,内地,董亚春,2375,12247,32130000,9872
张丰毅/颜丙燕/左小青/廖京生/李凤绪,家庭剧/剧情/粤语电视剧/超清1080P,岁月如金,2015,国语,6.9,内地,阎建钢,10889,35576,97010000,24687
张云龙/李心艾/毛俊杰/朱梓骁/陈希郡/马筚/郝泽嘉/孟召重/黄阅/陈昊,青春剧/言情剧/都市/偶像剧/粤语电视剧/超清1080P,花火,2015,国语,8.5,内地,邹集城,40822,273888,403000000,233066
张佳宁/高曙光/王思懿/杜源/马睿/褚峰/句号,家庭剧/剧情/粤语电视剧/超清1080P,亲情暖我心,2016,国语,7.4,内地,张宁,257,1003,1580000,746
张俪/涂松岩/马元/张璇/张檬/任伟/宗峰岩/张晨光/艾茹/涓子,喜剧/家庭剧/言情剧/粤语电视剧/超清1080P,不是不想嫁,2014,国语,7.9,内地,甘露,5825,27209,86660000,21384
张倬闻/李木子/汤镇宗/马羚/迟志强/博弘,家庭剧/剧情/都市/粤语电视剧/超清1080P,穷孩子富孩子,2012,国语,8.3,内地,李平/华宁,4788,28376,55490000,23588
张光北/吴竞/刘钊/臧金生/梁音/李耕,剧情/都市,喜鹊东南飞,2001,国语,7.1,内地,温成林,4,14,55455,10
张兴哲/陈廷嘉/申军谊/王建新/贾青/金一帆/杜哲宇/陈颢文,军旅剧/谍战剧/粤语电视剧/超清1080P,战地狮吼,2013,国语,7.9,内地,谭俏/祝东宁,6340,30609,124000000,24269
张冰,罪案剧/剧情/都市/粤语电视剧,权力游戏,2007,国语,6,内地,张冰,455,1146,3390000,691
张凯丽/黄梅莹/孙松/李雪健/郑乾龙/庞敏/韩影,家庭剧/言情剧/粤语电视剧/超清1080P,渴望,1990,国语,8,内地,鲁晓威,8302,41208,38760000,32906
张卉/方芳/代长江/尹泽强/项雨薇,青春剧/剧情/都市/粤语电视剧/超清1080P,光明底线,2011,国语,3.9,内地,陈奕杰,22,36,81564,14
张博/刘威葳/凯丽/许文广/方芳/陈国坤/高亚麟/田野,言情剧/都市/粤语电视剧/超清1080P,坐88路车回家,2015,国语,8.2,内地,李路,5154,28937,93250000,23783
张博/周显欣/黄觉/潘之琳/郭凯敏/黄勐/林栋甫,军旅剧/言情剧/谍战剧/粤语电视剧/超清1080P,金战,2014,国语,7.8,内地,刘心刚,7394,34134,78010000,26740
张博/汪裴/邱士鉴/龙一仪/王迅/周明汕/孙承政/冯国强,剧情/谍战剧/悬疑剧/粤语电视剧/超清1080P,出关,2015,国语,7.6,内地,宋业明,3664,15008,49600000,11344
张博/汪裴/邱士鉴/龙一仪/王迅/周明汕/孙承政/冯国强,剧情/谍战剧/悬疑剧/粤语电视剧/超清1080P,出关,2015,国语,6.6,内地,宋业明,708,2073,7940000,1365
张博/蒋梦婕/金珈/刘圆媛/罗二羊/周绍栋/姜彤/宋达民/杨雨婷/夏添/公方敏,悬疑剧/剧情/粤语电视剧/超清1080P,绝命追踪,2015,国语,9.6,内地,谭俏/柯政铭,3363,78826,76420000,75463
张卫健/谢霆锋/袁泉/范冰冰/徐锦江/柏雪/孙菲菲/郑希怡/吴庆哲,武侠剧/古装剧/粤语电视剧/超清1080P,小鱼儿与花无缺,2005,国语,9.2,内地,王晶,1941,24733,21770000,22792
张可佳/尹正/黄子腾/米紫安/卜冠之/张皓然/徐熙阳,青春剧/都市/网络剧/偶像剧/悬疑剧/粤语电视剧/超清1080P,红色青橄榄,2015,国语,9.9,内地,苏沅峰/张艺腾,670,78753,16280000,78083
张可佳/王子强/刘令飞/李少龙/布莱恩/尤樱子/闻娟,青春剧/家庭剧/言情剧/粤语电视剧/超清1080P,幸福45度角,2011,国语,7.2,内地,赵君方,214,774,3230000,560
张哲瀚/李良/李雪峰/陈昀/李梦洋,青春剧/言情剧/剧情/偶像剧/粤语电视剧/超清1080P,怎么会爱上你,2010,国语,7.4,内地,李平,3473,13120,9460000,9647
张嘉译/倪大红/王海燕/左小青/张临/尤勇/李洪涛/孙浩/姬他/曲国强/付枚,都市/家庭剧/言情剧/粤语电视剧/超清1080P,后海不是海,2015,国语,7.3,内地,韩晓军,12465,45604,133000000,33139
张嘉译/刘佳/金鑫/王彤,青春剧/家庭剧/言情剧/粤语电视剧/超清1080P,婚姻背后,2008,国语,8,内地,何群,1733,8497,36240000,6764
张嘉译/刘涛/聂远/姬他/王鸥/张粟/林栋甫/胡桑/刘波/文静/韩英群/山崎敬一,言情剧/剧情/年代剧/粤语电视剧/超清1080P,花火花红,2014,国语,7,内地,张汉杰,21161,70660,213000000,49499
张嘉译/张延/张磊/高田昊/王黎雯/柴鸥,商战剧/剧情/年代剧/粤语电视剧/超清1080P,大道向远方,2008,国语,6.9,内地,张汉杰,447,1425,4700000,978
张嘉译/张志坚/俞飞鸿/莫小棋/霍青/杨皓宇/尹铸胜/郭晓峰/金丰,历史剧/年代剧/粤语电视剧/超清1080P,大清盐商,2014,国语,8.3,内地,韩晓军,2953,17289,40800000,14336
张嘉译/李建义/赵小锐/宗平/修宗迪/辛柏青/于俭/冯千,罪案剧/剧情/都市/粤语电视剧/超清1080P,使命,2005,国语,7.5,内地,何群,1071,4276,9430000,3205
张嘉译/耐安/潘雨辰,青春剧/言情剧/偶像剧/粤语电视剧,表演系的故事,2000,国语,6,内地,彦小追/张会军,74,183,253000,109
张嘉译/赵纯阳/田小洁/丁莉/袁菲/桑平/周德华/唐以诺/俞颖,军旅剧/剧情/年代剧/粤语电视剧/超清1080P,双枪李向阳之再战松井,2011,国语,6.7,内地,付小健,1948,5972,7900000,4024
张嘉译/赵纯阳/郭月/范明/唐以诺,剧情/年代剧/谍战剧/粤语电视剧/超清1080P,双枪李向阳,2006,国语,7.4,内地,付小健/赵北光,245,940,2760000,695
张国强/斓曦/张汇仓/梁椰雯/孙骁潇/李梦男/朱德承/邱士鉴/汪裴,谍战剧/悬疑剧/剧情/粤语电视剧/超清1080P,英雄戟之影子战士,2015,国语,7.6,内地,蒋钦民,22291,91879,157000000,69588
张国强/殷桃/孙海英/曹炳琨/许娣/贾青/崔璨,罪案剧/家庭剧/悬疑剧/粤语电视剧/超清1080P,无贼,2013,国语,8.5,内地,丁黑,7683,52972,125000000,45289
张国强/王雅捷/王媛可/陈紫函/方慧/李梁/王往,军旅剧/言情剧/粤语电视剧,我们的队伍向太阳,2009,国语,10,内地,李京,65,24352,19920000,24287
张国立/张铁林/王刚/张庭/邓婕/苗圃/王耀庆/李婷宜/徐箭/周传一,喜剧/家庭剧/古装剧/粤语电视剧,宋莲生坐堂,2005,国语,9.4,内地,张国立,889,14487,16910000,13598
张国立/张铁林/王刚/张春年/邓婕,喜剧/宫廷剧/历史剧/古装剧/粤语电视剧/超清1080P,布衣天子,2003,国语,9.1,内地,沈怡,2721,31515,27140000,28794
张国立/张铁林/王刚/袁立/杨千茂闫妮,喜剧/宫廷剧/古装剧/粤语电视剧/超清1080P,铁齿铜牙纪晓岚4,2009,国语,9.9,内地,张国立/罗长安,1629,181461,119000000,179832
