演员, 类型, 整理后剧名, 上映时间, 语言, 评分, 地区, 导演, 差评数, 评分人数, 播放量, 好评数
任程伟/果静临/杜旭东/姚晨/赵瑞, 古装剧/剧情/年代剧/粤语电视剧/超清1080P, 神鞭, 2002.0, 国语, 6.2, 内地, 周友朝, 164.0, 426.0, 3350000.0, 262.0
任程伟/王艳/朱宏嘉, 青春剧/言情剧/都市/粤语电视剧, 爱在生死边缘, 2002.0, 国语, 5.9, 内地, 安战军, 288.0, 698.0, 1100000.0, 410.0
任程伟/王茜华/田海蓉/刘红雨/曹力/果静临/王双宝, 家庭剧/剧情/粤语电视剧, 软弱, 2003.0, 国语, 6.3, 内地, 周友朝, 186.0, 500.0, 1250000.0, 314.0
任程伟/闫妮/朱琳/高放/石维坚, 家庭剧/言情剧/粤语电视剧/超清1080P, 下辈子做你的女人, 2008.0, 国语, 8.5, 内地, 万盛华, 3134.0, 21174.0, 19620000.0, 18040.0
任程伟/陶红/郭凯敏/李心敏/常玉平/姜华, 家庭剧/剧情/农村剧/粤语电视剧/超清1080P, 矿山人家, 2011.0, 国语, 6.4, 内地, 张多福, 379.0, 1063.0, 3660000.0, 684.0
任重/高露/王耀庆/王阳/朱茵/郭凯敏/徐洁儿/王倩一, 家庭剧/言情剧/都市/偶像剧/粤语电视剧/超清1080P, 小爸妈, 2015.0, 国语, 7.4, 内地, 毛小睿, 10389.0, 39208.0, 41690000.0, 28819.0
任重/高露/王耀庆/王阳/朱茵/郭凯敏/徐洁儿/王倩一, 家庭剧/言情剧/都市/偶像剧/粤语电视剧/超清1080P, 小爸妈, 2015.0, 国语, 7.9, 内地, 毛小睿, 54788.0, 262370.0, 259000000.0, 207582.0
伍强/曹克难/韩夫一/卫晓茼, 剧情/都市/罪案剧/悬疑剧/粤语电视剧, 追捕, 2003.0, 国语, 5.7, 内地, 陈国军, 414.0, 957.0, 2470000.0, 543.0
但欣/赵婧伊/雷诺儿/朱嘉琦, 网络剧/悬疑剧/粤语电视剧/超清1080P, 傲魂之活死人, 2015.0, 国语, 8.3, 内地, 贾方, 4134.0, 24867.0, 52060000.0, 20733.0
何中华/俞飞鸿/王冰/陈龙/杨若兮/张伊菡/刘莉莉/陈莹/张静初, 言情剧/武侠剧/古装剧/粤语电视剧/超清1080P, 3少爷的剑, 2000.0, 国语, 7.8, 内地, 靳德茂, 2780.0, 12827.0, 48240000.0, 10047.0
何伟/郭涛/盖奕/王奎荣/刘威葳/丁怡, 罪案剧/悬疑剧/粤语电视剧, 角力, 2003.0, 国语, 5.6, 内地, 高群书, 920.0, 2102.0, 25940000.0, 1182.0
何冰, 商战剧/剧情/都市/粤语电视剧/超清1080P, 金钱本色, 1997.0, 国语, 4.6, 内地, 李晓军, 100.0, 186.0, 390000.0, 86.0
何冰/何涛/林海海/陈肖依/朱雨辰, 言情剧/剧情/粤语电视剧/超清1080P, 盛世华衣, 1996.0, 国语, 7.3, 内地, 沈悦, 6.0, 22.0, 62242.0, 16.0
何冰/江珊/毕彦君/高冬平/孙宝光/李明臣/席与立/刘亚津/严敏求, 历史剧/古装剧/剧情/粤语电视剧, 王爷到, 2005.0, 国语, 6.7, 内地, 宋洋, 819.0, 2466.0, 3400000.0, 1647.0
何冰/达达/李歌/刘园园/赵铁人/于明加/萧兵/满意, 家庭剧/剧情/都市/粤语电视剧, 兄弟如手足, 2010.0, 国语, 6.4, 内地, 郭靖宇, 869.0, 2393.0, 3780000.0, 1524.0
何冰/韩童生/彭心宜/李建义/常兰天/金顺子, 喜剧/家庭剧/言情剧/粤语电视剧, 1锁50年, 2009.0, 国语, 6.4, 内地, 何冰/周小兵, 538.0, 1500.0, 2600000.0, 962.0
何家劲/俞飞鸿/李倩/乔振宇/郑晓宁/娟子/高鑫/冯绍峰/史可/刘庭羽, 武侠剧/古装剧/粤语电视剧/超清1080P, 无忧公主, 2004.0, 国语, 6.6, 内地, 李惠民, 1150.0, 3373.0, 8010000.0, 2223.0
何家劲/魏秋桦/鲍正芳/张振寰/龙隆, 言情剧/武侠剧/古装剧/剧情/粤语电视剧/超清1080P, 少年张3丰, 1991.0, 国语, 6.3, 内地, 王钟, 1902.0, 5092.0, 7910000.0, 3190.0
何政军, 言情剧/粤语电视剧/超清1080P, 青果巷, 2014.0, 国语, 6.6, 内地, 徐耿, 42.0, 124.0, 355000.0, 82.0
何明翰/于小慧/李幼斌/屈菁菁/李菁菁/纪姿含/罗立群/齐溪, 喜剧/青春剧/家庭剧/剧情/粤语电视剧/超清1080P, 爱的保镖, 2014.0, 国语, 8.1, 内地, 李妮, 4796.0, 25012.0, 37710000.0, 20216.0
何明翰/李幼斌/陈一诺/储智博/李歌/刘金/刘鉴/卓子/高亮/王盼盼, 言情剧/剧情/悬疑剧/粤语电视剧/超清1080P, 别让我看见, 2015.0, 国语, 8.4, 内地, 王加宾, 5031.0, 31697.0, 62470000.0, 26666.0
何晟铭/白冰/于和伟/王琳/王黎雯/宋允皓/方子春/秦焰/秦雪, 都市/家庭剧/言情剧/粤语电视剧/超清1080P, 婚前协议, 2015.0, 国语, 6.6, 内地, 朱锐彬, 16855.0, 49928.0, 158000000.0, 33073.0
何晟铭/金晨/张逗逗/王鸥/张治坚/陈创/郑卫莉/林江国/翟万臣/甘萍/张洪杰, 军旅剧/剧情/偶像剧/粤语电视剧/超清1080P, 桐柏英雄, 2013.0, 国语, 6.8, 内地, 桑华/祝东宁/白杨, 3183.0, 9834.0, 110000000.0, 6651.0
何晴/王志飞/刘卫华/张咏荷/范雨林/蒋昌义, 剧情/年代剧/粤语电视剧/超清1080P, 双枪老太婆, 2006.0, 国语, 6.7, 内地, 石伟, 387.0, 1157.0, 4330000.0, 770.0
何杜娟/邬君梅, 喜剧/剧情/粤语电视剧, 追你到天边, 2003.0, 国语, 5.7, 内地, 赵起, 97.0, 223.0, 825000.0, 126.0
何润东/董洁/陈冠霖/谢元真/陈诚/寇振海, 神话剧/言情剧/古装剧/粤语电视剧/超清1080P, 梁山伯与祝英台, 2007.0, 国语, 8.6, 内地, 陈俊良, 5915.0, 43305.0, 48020000.0, 37390.0
