,community_id,trade_time,days_on_market,total_price,unit_price,area_sqm,n_bed_room,n_living_room,n_kitchen,n_bathroom,building,building_type,construction_time,renovation_condition,building_structure,ladder_ratio,elevator,property_rights_for_five_years,subway,district,community_average
18446,1.11103E+12, 2016-08-18,41,4.73,55000,86,3,2,1,2, 中 9, 板楼,2008, 简装, 钢混,0.333,1,1,0, 海淀,65533
37419,1.11103E+12, 2016-11-24,63,2.23,38878,57.36,1,2,1,1, 低 20, 板塔结合,2011, 简装, 钢混,0.222,1,1,1, 朝阳,52870
4187,1.11103E+12, 2016-07-29,112,4.1,40197,102,2,0,1,1, 低 16, 塔楼,2004, 精装, 钢混,0.154,1,1,1, 朝阳,66219
40185,1.11103E+12, 2016-11-07,32,9.65,79490,121.4,2,2,1,1, 高 22, 塔楼,2001, 简装, 钢混,0.4,1,0,1, 东城,80045
57217,1.11103E+12, 2016-03-21,1,4.3,74318,57.86,1,1,1,1, 高 16, 板塔结合,2003, 精装, 钢混,0.333,1,0,1, 东城,98739
15677,1.11103E+12, 2016-08-04,39,5.6,55783,100.39,3,1,1,1, 底 24, 塔楼,2000, 精装, 钢混,0.25,1,0,1, 朝阳,67092
14443,1.11103E+12, 2016-07-11,21,3.71,64243,57.75,1,1,1,1, 中 24, 塔楼,2004, 精装, 钢混,0.2,1,1,1, 西城,89350
22525,1.11103E+12, 2016-08-16,22,7.2,96840,74.35,2,1,1,1, 中 18, 塔楼,2000, 精装, 钢混,0.167,1,1,1, 海淀,107405
33040,1.11103E+12, 2016-09-13,10,4.1,63913,64.15,1,1,1,1, 低 27, 塔楼,2007, 其他, 钢混,0.4,1,1,0, 石景山,64222
5701,1.11103E+12, 2016-06-25,61,5.3,57930,91.49,2,1,1,1, 低 18, 塔楼,2007, 精装, 钢混,0.286,1,1,1, 朝阳,68153
46742,1.11103E+12, 2016-12-28,26,7.06,62517,112.93,2,1,1,2, 中 28, 板塔结合,2005, 精装, 钢混,0.5,1,0,0, 海淀,66988
39994,1.11103E+12, 2016-11-23,49,4.31,75271,57.26,1,1,1,1, 低 25, 塔楼,2004, 精装, 钢混,0.25,1,1,1, 朝阳,61293
8132,1.11103E+12, 2016-10-05,140,6.53,52240,125,3,1,1,2, 顶 6, 板楼,2004, 简装, 混合,0.5,0,0,0, 海淀,60502
30972,1.11103E+12, 2016-09-18,22,8.16,69798,116.91,2,2,1,2, 高 28, 板楼,2002, 精装, 钢混,0.667,1,0,1, 朝阳,86465
14564,1.11103E+12, 2016-08-24,64,6.45,45680,141.2,3,2,1,1, 高 20, 塔楼,2006, 精装, 钢混,0.333,1,0,1, 丰台,55585
4802,1.11103E+12, 2016-08-15,122,5.5,92128,59.7,1,2,1,1, 低 27, 塔楼,2001, 简装, 钢混,0.25,1,1,1, 海淀,91516
63058,1.11103E+12, 2016-05-30,1,8.08,120024,67.32,1,1,1,1, 中 16, 塔楼,2003, 其他, 钢混,0.286,1,0,1, 海淀,132223
34253,1.11104E+12, 2016-09-10,2,1.81,21178,85.47,2,1,1,1, 高 24, 塔楼,2009, 其他, 钢混,0.3,1,0,0, 朝阳,51088
14432,1.11103E+12, 2016-07-11,20,3.55,42556,83.42,2,1,1,1, 高 21, 板塔结合,2004, 精装, 钢混,0.25,1,1,1, 丰台,48897
65892,1.11103E+12, 2016-03-08,1,10.5,111076,94.53,2,2,1,1, 中 11, 板塔结合,2008, 其他, 钢混,0.25,1,0,1, 西城,133828
52861,1.11103E+12, 2016-01-17,1,4.17,39730,104.96,3,2,1,1, 中 9, 板楼,2008, 精装, 钢混,0.167,1,1,1, 朝阳,58955
36555,1.11103E+12, 2016-09-30,13,6.68,71490,93.44,2,1,1,1, 中 25, 板塔结合,2003, 精装, 钢混,0.333,1,0,1, 西城,76922
46761,1.11103E+12, 2016-12-31,29,4.91,77445,63.4,2,1,1,1, 低 6, 板楼,2000, 简装, 混合,0.5,0,1,1, 海淀,77187
13312,1.11103E+12, 2016-06-18,2,5,57684,86.68,2,1,1,1, 中 15, 板楼,2008, 其他, 钢混,0.4,1,0,0, 朝阳,70693
56539,1.11103E+12, 2016-05-28,1,5.22,41449,125.94,3,1,1,2, 底 6, 板楼,2003, 精装, 混合,0.5,0,0,1, 朝阳,53315
37882,1.11103E+12, 2016-10-10,17,1.95,40795,47.8,1,1,1,1, 高 23, 塔楼,2011, 精装, 钢混,0.192,1,0,1, 朝阳,44711
60719,1.11103E+12, 2016-04-18,1,3.69,42052,87.75,2,1,1,1, 中 14, 板楼,2004, 简装, 钢混,2,1,1,1, 丰台,58737
50872,1.11103E+12, 2016-03-07,1,2.2,32930,66.81,1,1,1,1, 顶 15, 板塔结合,2007, 精装, 钢混,0.4,1,1,0, 朝阳,56335
8281,1.11103E+12, 2016-07-03,45,7.42,47388,156.58,3,2,1,2, 低 32, 塔楼,2000, 简装, 钢混,0.429,1,1,1, 朝阳,62705
43580,1.11103E+12, 2016-12-07,38,1.335,38363,34.8,1,0,0,1, 中 21, 塔楼,2009, 其他, 钢混,0.138,1,1,1, 丰台,38915
53741,1.11103E+12, 2016-02-21,1,2.8,41992,66.68,1,1,1,1, 高 25, 板塔结合,2008, 其他, 钢混,0.3,1,0,1, 朝阳,60785
61076,1.11103E+12, 2016-01-03,1,5.1,66123,77.13,2,1,1,1, 低 14, 板塔结合,2000, 简装, 钢混,0.071,1,1,1, 海淀,107405
42905,1.11103E+12, 2016-11-19,26,5,66481,75.21,2,1,1,1, 中 6, 板楼,2002, 精装, 混合,0.5,0,1,0, 丰台,62697
45005,1.11103E+12, 2016-11-19,6,3.425,50839,67.37,1,1,1,1, 中 22, 塔楼,2001, 简装, 钢混,0.25,1,1,1, 朝阳,52650
19031,1.11103E+12, 2016-08-31,52,7.8,83980,92.88,2,2,1,1, 中 16, 板塔结合,2007, 精装, 钢混,0.25,1,0,1, 朝阳,91192
33751,1.11103E+12, 2016-09-12,6,2.35,48514,48.44,1,1,1,1, 低 32, 塔楼,2005, 其他, 钢混,0.158,1,0,1, 丰台,61390
43534,1.11103E+12, 2016-12-08,39,5.398,50786,106.29,2,1,1,2, 底 11, 板楼,2007, 简装, 钢混,0.5,1,1,0, 朝阳,46072
43250,1.11103E+12, 2016-11-16,18,2.03,61035,33.26,1,0,1,1, 中 10, 板塔结合,2003, 简装, 钢混,0.095,1,0,0, 朝阳,56733
59257,1.11103E+12, 2016-03-27,1,1.1,28572,38.5,1,0,1,1, 高 21, 塔楼,2008, 简装, 钢混,0.25,1,0,1, 丰台,50953
34679,1.11103E+12, 2016-09-13,4,2.6,97342,26.71,1,0,1,1, 低 26, 塔楼,2006, 精装, 钢混,0.111,1,1,1, 西城,92360
3029,1.11103E+12, 2016-11-12,232,7.08,46555,152.08,4,2,1,1, 中 6, 板楼,2000, 精装, 钢混,0.5,0,1,1, 朝阳,48886
1650,1.11103E+12, 2016-08-18,166,11.9,75927,156.73,3,2,1,2, 顶 14, 板楼,2005, 精装, 钢混,1,1,0,1, 朝阳,86353
42663,1.11103E+12, 2016-12-12,51,6.945,78787,88.15,2,1,1,1, 高 13, 板塔结合,2004, 其他, 钢混,0.5,1,1,0, 海淀,76569
28118,1.11103E+12, 2016-08-20,5,6.4,71814,89.12,2,1,1,1, 高 22, 板楼,2013, 精装, 钢混,0.4,1,0,0, 朝阳,78260
15873,1.11103E+12, 2016-08-08,42,5.48,40593,135,3,2,1,2, 中 7, 板楼,2004, 简装, 钢混,0.5,1,1,0, 丰台,45920
7128,1.11104E+12, 2016-09-28,141,8.1,83360,97.17,2,2,1,1, 中 7, 板楼,2000, 简装, 混合,0.333,0,0,1, 西城,83649
34225,1.11103E+12, 2016-09-18,10,4.175,63673,65.57,1,1,1,1, 高 23, 板楼,2005, 简装, 钢混,0.333,1,1,0, 海淀,62924
2932,1.11103E+12, 2016-08-06,136,8.45,62302,135.63,3,2,1,2, 中 27, 板塔结合,2008, 精装, 钢混,0.4,1,1,1, 朝阳,68910
55178,1.11103E+12, 2016-04-11,1,4.83,50635,95.39,3,2,1,1, 低 9, 板楼,2009, 精装, 钢混,0.5,1,1,0, 朝阳,62634
28771,1.11103E+12, 2016-09-17,30,5.1,35615,143.2,3,2,1,2, 中 10, 塔楼,2004, 其他, 钢混,0.5,1,0,0, 朝阳,46867
59161,1.11103E+12, 2016-01-09,1,2.21,33045,66.88,1,1,1,1, 低 24, 塔楼,2002, 简装, 钢混,0.231,1,0,1, 丰台,58524
54507,1.11103E+12, 2016-04-05,1,3.6,67951,52.98,1,0,1,1, 高 10, 板楼,2009, 其他, 钢混,0.222,1,0,1, 朝阳,79930
55019,1.11103E+12, 2016-03-17,1,3.5,29226,119.76,3,2,1,2, 中 20, 塔楼,2006, 简装, 钢混,0.25,1,1,0, 朝阳,42508
33713,1.11103E+12, 2016-09-19,13,3.1,47539,65.21,1,0,1,1, 高 26, 塔楼,2005, 简装, 钢混,0.217,1,0,1, 朝阳,56021
66450,1.11103E+12, 2016-05-14,1,8.3,44374,187.05,3,2,1,2, 低 18, 塔楼,2003, 精装, 钢混,0.5,1,1,1, 西城,52563
52098,1.11103E+12, 2016-01-23,1,3.888,40395,96.25,2,1,1,1, 中 10, 板楼,2007, 精装, 钢混,0.2,1,1,1, 朝阳,59730
37499,1.11103E+12, 2016-11-27,67,4.9,75385,65,1,1,1,1, 低 10, 塔楼,2004, 精装, 钢混,0.25,1,1,0, 海淀,76934
29027,1.11104E+12, 2016-09-19,31,14.2,85240,166.59,3,2,1,2, 低 25, 板楼,2012, 精装, 钢混,1,1,0,0, 朝阳,93829
54603,1.11103E+12, 2016-04-04,1,2.74,41922,65.36,1,1,1,1, 低 28, 塔楼,2001, 其他, 钢混,0.2,1,1,1, 朝阳,51672
33648,1.11103E+12, 2016-09-13,8,4.96,48156,103,2,2,1,1, 高 31, 塔楼,2005, 简装, 钢混,0.429,1,1,1, 朝阳,53232
52947,1.11103E+12, 2016-06-09,1,5.2,42065,123.62,3,2,1,2, 底 6, 板楼,2010, 精装, 钢混,0.5,1,0,0, 朝阳,57024
36758,1.11103E+12, 2016-11-07,50,4.77,60904,78.32,2,1,1,1, 中 24, 塔楼,2006, 简装, 钢混,0.3,1,1,0, 丰台,64575
5257,1.11103E+12, 2016-09-11,144,31.5,120390,261.65,4,2,1,3, 顶 9, 板楼,2008, 其他, 钢混,1,1,0,0, 朝阳,118404
12571,1.11103E+12, 2016-08-12,58,9.6,96464,99.52,2,2,1,1, 中 16, 板塔结合,2005, 精装, 钢混,0.4,1,0,1, 海淀,97360
60140,1.11103E+12, 2016-03-27,1,2.89,46711,61.87,1,0,1,1, 低 11, 板楼,2004, 精装, 钢混,0.25,1,1,0, 丰台,60793
57305,1.11103E+12, 2016-02-29,1,6,62847,95.47,2,1,1,1, 高 17, 板塔结合,2004, 简装, 钢混,0.286,1,1,1, 东城,75950
39176,1.11105E+12, 2016-10-31,31,3.38,65264,51.79,1,0,1,1, 低 9, 板楼,2013, 精装, 钢混,0.182,1,0,1, 朝阳,80006
